ID,Maternal_ID,Paternal_ID,Cross_Type,Population,Seed_Family,Individual,First_Suffix,First_Suffix_Exp,Sec_Suffix,Sec_Suffix_Exp,Seed_Collection_Year,Date_Planted,Notes,Full_ID,Comment,
384,Fr2:105:1 b(31) cr,IT10:374 a,Fr2xIT10,,,,A,Potted ind.,,,2020,201026,,384 A,,
384,Fr2:105:1 b(31) cr,IT10:374 a,Fr2xIT10,,,,B,Potted ind.,,,2020,201028,,384 B,,
384,Fr2:105:1 b(31) cr,IT10:374 a,Fr2xIT10,,,,C,Potted ind.,,,2020,201208,,384 C,,
385,Fr2:39a self b,IT5:M5b 1b,Fr2xIT5,,,,A,Potted ind.,,,2020,201026,,385 A,Not arabis,
385,Fr2:39a self b,IT5:M5b 1b,Fr2xIT5,,,,B,Potted ind.,,,2020,201028,,385 B,,
385,Fr2:39a self b,IT5:M5b 1b,Fr2xIT5,,,,C,Potted ind.,,,2020,201028,,385 C,,
385,Fr2:39a self b,IT5:M5b 1b,Fr2xIT5,,,,D,Potted ind.,,,2020,201030,,385 D,,
386,Fr2:S16:13 b(124) cr,IT6:15:14 b(6) cr,Fr2xIT6,,,,A,Potted ind.,,,2020,201026,,386 A,,
386,Fr2:S16:13 b(124) cr,IT6:15:14 b(6) cr,Fr2xIT6,,,,B,Potted ind.,,,2020,201026,,386 B,,
386,Fr2:S16:13 b(124) cr,IT6:15:14 b(6) cr,Fr2xIT6,,,,C,Potted ind.,,,2020,201026,,386 C,,
386,Fr2:S16:13 b(124) cr,IT6:15:14 b(6) cr,Fr2xIT6,,,,D,Potted ind.,,,2020,201026,,386 D,,
386,Fr2:S16:13 b(124) cr,IT6:15:14 b(6) cr,Fr2xIT6,,,,E,Potted ind.,,,2020,201026,,386 E,,
386,Fr2:S16:13 b(124) cr,IT6:15:14 b(6) cr,Fr2xIT6,,,,F,Potted ind.,,,2020,201026,,386 F,,
386,Fr2:S16:13 b(124) cr,IT6:15:14 b(6) cr,Fr2xIT6,,,,G,Potted ind.,,,2020,201026,,386 G,,
386,Fr2:S16:13 b(124) cr,IT6:15:14 b(6) cr,Fr2xIT6,,,,H,Potted ind.,,,2020,201026,,386 H,,
386,Fr2:S16:13 b(124) cr,IT6:15:14 b(6) cr,Fr2xIT6,,,,I,Potted ind.,,,2020,201026,,386 I,,
386,Fr2:S16:13 b(124) cr,IT6:15:14 b(6) cr,Fr2xIT6,,,,J,Potted ind.,,,2020,201026,,386 J,,
386,Fr2:S16:13 b(124) cr,IT6:15:14 b(6) cr,Fr2xIT6,,,,K,Potted ind.,,,2020,201026,,386 K,,
386,Fr2:S16:13 b(124) cr,IT6:15:14 b(6) cr,Fr2xIT6,,,,L,Potted ind.,,,2020,201026,,386 L,,
387,Fr2:S16:13 b(124) cr,IT6:13:8 a(9) cr,Fr2xIT6,,,,A,Potted ind.,,,2020,201026,,387 A,,
387,Fr2:S16:13 b(124) cr,IT6:13:8 a(9) cr,Fr2xIT6,,,,B,Potted ind.,,,2020,201026,,387 B,,
387,Fr2:S16:13 b(124) cr,IT6:13:8 a(9) cr,Fr2xIT6,,,,C,Potted ind.,,,2020,201026,,387 C,,
387,Fr2:S16:13 b(124) cr,IT6:13:8 a(9) cr,Fr2xIT6,,,,D,Potted ind.,,,2020,201026,,387 D,,
387,Fr2:S16:13 b(124) cr,IT6:13:8 a(9) cr,Fr2xIT6,,,,E,Potted ind.,,,2020,201026,,387 E,,
