Mother_ID,Donor_ID,Treatment,Colour,Date_Poll,Weight_g,N_Seeds,Date_Coll,Comment,Comment_2
370 O,370 O,Self,Red,210406,,,,,
385 C,385 C,Self,Red,210406,0.0027,37,21-05-03-1,,
385 C,385 C,Self,Red,210409,0.0033,37,21-05-03-2,,Not in physical protocol
385 C,None,Control,Purple,210410,0,1,,,
385 D,385 D,Self,Red,210407,0.0042,10,21-05-05,,
385 D,None,Control,Purple,210407,NA,0,,,
385 D,385 D,Self,Red,210409,0.0039,28,21-05-06,,Not in physical protocol
385 D,385 D,Self,Red,210410,0.0023,18,21-05-07,,
386 A,386 A,Self,Red,210415,0.003,14,,,
386 A,None,Control,Purple,210415,0.0008,2,,1 big and 1 small seed,
386 B,386 B,Self,Red,210410,0.0001,1,,,
386 D,386 D,Self,Red,210416,0.0014,12,,Pollinated right away,
386 D,None,Control,Purple,210416,0.0005,6,,,
386 E,386 E,Self,Red,210413,0.0006,9,,,
386 E,None,Control,Purple,210413,NA,0,21-05-15,,
386 E,None,Control,Purple,,0,4,21-05-19,,
386 F,386 F,Self,Red,210413,0.0039,22,,,
386 F,None,Control,Purple,210413,0.0026,17,,,
386 G,386 G,Self,Red,210414,0.0041,27,,,
386 G,None,Control,Purple,210414,NA,0,21-05-21,,
386 G,None,Control,Purple,,0.0037,25,21-05-15,,
386 H,386 H,Self,Red,210414,0.003,19,,Style already growing before pollination,
386 H,None,Control,Purple,,0.0026,16,21-05-14,,
386 J,386 J,Self,Red,210415,0,1,21-05-22,Pollen may be too old,Lost seeds
386 J,None,Control,Purple,210414,0.0018,11,,,
386 J,386 J,Self,Red,,0.0045,26,21-05-14,,
386 K,386 K,Self,Red,210414,NA,0,21-05-21,Pollen may be too old,
386 K,None,Control,Purple,210413,NA,0,,,
386 K,386 K,Self,Red,,NA,0,21-05-17,,
386 L,386 L,Self,Red,210415,0.0011,13,,very small seeds,
387 A,387 A,Self,Red,210415,0.0066,32,,,
387 A,None,Control,Purple,210415,0.0059,35,,,
387 B,387 B,Self,Red,210414,0.0046,28,,,
387 B,None,Control,Purple,210413,NA,0,21-05-24,,
387 B,None,Control,Purple,,0.0032,20,21-05-15,,
387 C,387 C,Self,Red,210407,0.0016,7,21-05-14-1,,
387 C,None,Control,Purple,210410,NA,0,,,
387 C,387 C,Self,Red,210413,0.0001,1,21-05-15-1,Pollen may be too old,
387 C,387 C,Self,Red,210415,NA,0,21-05-15-2,,
387 C,387 C,Self,Red,,NA,0,21-05-22,,
387 C,387 C,Self,Red,,NA,0,21-05-09,,
387 C,387 C,Self,Red,,0.0029,21,21-05-19,,
387 D,387 D,Self,Red,210413,0.0034,23,21-05-21,,
387 D,None,Control,Purple,210413,NA,0,21-05-15,Says self in protocol but is control,
387 D,387 D,Self,Red,,0.0057,31,21-05-11,,
387 D,None,Control,Purple,,0.0004,6,21-05-22,,
387 F,None,Control,Purple,210410,0.006,36,,,
387 F,387 F,Self,Red,210410,0.0046,30,21-05-13-1,Pollinated before I touched the anthers,
387 F,387 F,Self,Red,210414,0.0062,35,21-05-10,,
387 G,387 G,Self,Red,210409,NA,0,21-05-15-1,,Not in physical protocol
387 G,387 G,Self,Red,210409,0.005,30,21-05-13-1,,Not in physical protocol
387 G,None,Control,Purple,210410,,,,,
387 G,387 G,Self,Red,210413,0.0033,20,21-05-13-2,,
387 G,387 G,Self,Red,210413,0.0043,27,21-05-15-2,,
387 G,387 G,Self,Red,,0.0052,29,21-05-09-1,"No date in sheet, could be skipped or pollinated",
387 G,387 G,Self,Red,210416,0.0041,21,21-05-19-1,,
387 G,387 G,Self,Red,210420,0.0037,26,21-05-10-1,,
387 G,387 G,Self,Red,210420,NA,0,21-05-09-2,,
387 H,387 H,Self,Red,210413,NA,0,21-05-19,,
387 H,None,Control,Purple,210413,NA,0,,,
387 H,387 H,Self,Red,,0.0057,26,21-05-11,,
387 I,387 I,Self,Red,210415,0.0054,23,,,
387 I,None,Control,Purple,210414,0.0063,28,,,
387 J,387 J,Self,Red,210413,0.004,26,21-05-10,,
387 J,None,Control,Purple,210413,0.004,26,,,
387 J,387 J,Self,Red,,0.0014,16,21-05-19-1,,
387 J,387 J,Self,Red,,0,1,21-05-19-2,,
387 K,387 K,Self,Red,210409,0.0062,27,,,Not in physical protocol
387 K,None,Control,Purple,210410,0.0069,31,,,
387 L,None,Control,Purple,,0.0019,10,,,
387 M,387 M,Self,Red,210415,0.0051,26,21-05-13,,
387 M,None,Control,Purple,210415,NA,0,21-05-17,,
387 M,387 M,Self,Red,,0.0023,14,21-05-17,,
387 M,387 M,Self,Red,,0,2,21-05-19,,
387 M,None,Control,Purple,,0.0009,8,21-05-22,,
387 N,387 N,Self,Red,210406,0.0033,23,21-05-07,,
387 N,None,Control,Purple,210410,0.0034,24,,,
387 N,387 N,Self,Red,210415,0.0025,20,21-05-14,,
388 A,None,Control,Purple,210406,0.001,11,,Lost seeds,
388 A,388 A,Self,Red,210407,0.0008,9,21-05-03-1,picked before ripe,
388 A,388 A,Self,Red,210409,0.0027,29,21-05-03-2,,Not in physical protocol
388 A,388 A,Self,Red,210413,0.00331,35,21-05-03-3,,
389 A,389 A,Self,Red,210409,0.0055,26,21-05-14,,Not in physical protocol
389 A,None,Control,Purple,210410,0.0066,31,,,
389 A,389 A,Self,Red,210415,NA,0,21-05-10,,
389 B,389 B,Self,Red,210405,0.0011,9,21-05-09,,
389 B,389 B,Self,Red,210409,0.0047,31,21-05-10,,Not in physical protocol
389 B,None,Control,Purple,210410,0.0032,27,,,
389 B,389 B,Self,Red,210413,0.0026,25,21-05-17,,
389 B,398 B,Self,Red,210414,0.0033,26,21-05-14-1,,
389 B,389 B,Self,Red,210416,0.0044,32,21-05-14-2,,
