NGI ID	User ID	Mreads	≥Q30
P26207_101	1470	28.15	90.77
P26207_102	1447	30.08	91.30
P26207_103	1448	26.86	90.87
P26207_104	Fr2	25.70	91.26
P26207_105	997	33.89	90.72
P26207_106	998	27.22	90.44
P26207_107	1483	24.65	91.06
P26207_108	968	39.84	91.00
P26207_109	1467	36.68	90.36
P26207_110	1044	39.05	91.25
P26207_111	1348	31.66	90.70
P26207_112	1424	36.32	90.51
P26207_113	880	39.79	90.97
P26207_114	721	33.56	90.40
P26207_115	592	31.36	90.60
P26207_116	994	37.88	91.11
P26207_117	1229	33.43	91.04
P26207_118	646	28.94	90.73
P26207_119	1045	29.63	90.58
P26207_120	996	31.79	88.80
P26207_121	879	33.92	90.12
P26207_122	441	33.27	91.28
P26207_123	530	40.50	90.48
P26207_124	414	39.14	91.42
P26207_125	1402	35.85	90.99
P26207_126	718	49.17	89.88
P26207_127	434	39.82	91.44
P26207_128	1441	38.67	90.04
P26207_129	874	38.00	91.40
P26207_130	1230	35.32	90.41
P26207_131	539	38.91	88.33
P26207_132	1278	38.68	90.59
P26207_133	1409	29.64	91.00
P26207_134	445	38.53	90.24
P26207_135	448	40.98	91.11
P26207_136	827	41.40	90.64
P26207_137	950	29.74	90.30
P26207_138	979	39.09	89.88
P26207_139	1155	29.85	90.69
P26207_140	1468	41.23	91.38
P26207_141	410	37.46	90.89
P26207_142	648	39.91	90.64
P26207_143	714	37.46	88.91
P26207_144	957	35.18	88.67
P26207_145	1442	39.02	89.68
P26207_146	509	30.73	91.03
P26207_147	1422	39.83	90.58
P26207_148	420	43.82	91.00
P26207_149	835	30.70	90.75
P26207_150	1023	34.89	89.84
P26207_151	432	35.93	91.45
P26207_152	795	36.10	90.06
P26207_153	1042	36.79	90.29
P26207_154	1267	43.76	90.69
P26207_155	1011	43.81	91.38
P26207_156	507	35.73	90.67
P26207_157	859	31.87	91.05
P26207_158	808	30.97	90.59
P26207_159	877	45.80	91.20
P26207_160	1178	39.86	90.56
P26207_161	400	34.26	91.05
P26207_162	663	39.84	89.88
P26207_163	641	47.16	89.39
P26207_164	864	35.53	91.23
P26207_165	717	33.06	90.84
P26207_166	802	33.12	90.93
P26207_167	910	29.24	89.76
P26207_168	431	35.11	89.36
P26207_169	463	23.51	90.82
P26207_170	540	33.94	91.05
P26207_171	413	36.79	91.05
P26207_172	415	29.50	88.88
P26207_173	444	35.25	90.73
